               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11084,            0.033551,                   0,           0.0033333,                 0.1,           0.0034554,          0.00054643,            0.035046,            0.015553,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.09169,            0.032643,                   0,           0.0033333,                   1,            0.014189,           0.0044435,            0.028684,            0.016074,                   0,            0.086351,           0.0013515,           0.0013515
                   2,            0.091765,            0.033766,                   0,             0.79907,                 0.2,             0.40104,             0.12939,            0.017801,            0.016508,                   0,            0.078845,           0.0018446,           0.0018446
                   3,            0.072082,            0.031838,                   0,             0.81574,                 0.7,               0.767,             0.29132,            0.018456,            0.014678,                   0,            0.071179,           0.0021793,           0.0021793
                   4,            0.075814,            0.032188,                   0,             0.63761,                 0.7,             0.79888,             0.37906,            0.016136,             0.01354,                   0,            0.063356,           0.0023556,           0.0023556
                   5,            0.067677,            0.030033,                   0,             0.79847,                 0.7,              0.7894,             0.34102,            0.017377,            0.012561,                   0,            0.055374,           0.0023735,           0.0023735
                   6,            0.062988,             0.02995,                   0,             0.80707,                 0.7,             0.89578,             0.43056,            0.014199,            0.012197,                   0,            0.047233,            0.002233,            0.002233
                   7,            0.065749,            0.029658,                   0,             0.92156,                 0.9,              0.9575,             0.46709,            0.014394,             0.01184,                   0,            0.038934,           0.0019341,           0.0019341
                   8,            0.067489,            0.028077,                   0,             0.91415,                 0.9,              0.9575,              0.5773,            0.012315,            0.011472,                   0,            0.030477,           0.0014768,           0.0014768
                   9,            0.068542,            0.031586,                   0,               0.771,                 0.9,             0.89877,             0.48674,            0.014413,            0.011156,                   0,            0.021861,           0.0008611,           0.0008611
